team,QB rank,wk 12,wk 13,wk 14,wk 15,  ,team,RB rank,wk 12,wk 13,wk 14,wk 15,  ,team,WR rank,wk 12,wk 13,wk 14,wk 15,  ,team,TE rank,wk 12,wk 13,wk 14,wk 15,  ,team,K rank,wk 12,wk 13,wk 14,wk 15,  
DET,71.17142857142856,MIN -  Sam Bradford Shaun Hill,NO -  Drew Brees,CHI -  Brian Hoyer Jay Cutler Matt Barkley,NYG -  Eli Manning,  ,SF,45.25714285714286,MIA -  Jay Ajayi Kenyan Drake Damien Williams,CHI -  Jordan Howard Jeremy Langford Ka'Deem Carey,NYJ -  Matt Forte Bilal Powell Troymaine Pope,ATL -  Devonta Freeman Tevin Coleman,  ,CHI,49.685714285714276,TEN -  Rishard Matthews Tajae Sharpe Kendall Wright Andre Johnson Harry Douglas Marc Mariani,SF -  Jeremy Kerley Torrey Smith Quinton Patton Rod Streater Aaron Burbridge Keshawn Martin,DET -  Marvin Jones Golden Tate Anquan Boldin Andre Roberts,GB -  Randall Cobb Davante Adams Jordy Nelson Ty Montgomery Jeff Janis Jared Abbrederis Trevor Davis,  ,CLE,21.542857142857144,NYG -  Will Tye Larry Donnell Jerell Adams,BYE,CIN -  C.J. Uzomah Tyler Kroft Tyler Eifert,BUF -  Charles Clay Nick O'Leary,  ,JAC,10.666666666666666,BUF -  Dan Carpenter,DEN -  Brandon McManus,MIN -  Blair Walsh,HOU -  Nick Novak,  
CLE,70.54285714285713,NYG -  Eli Manning,BYE,CIN -  Andy Dalton,BUF -  Tyrod Taylor EJ Manuel,  ,NO,41.333333333333336,LA -  Todd Gurley Benny Cunningham Malcolm Brown Chase Reynolds,DET -  Theo Riddick Ameer Abdullah Dwayne Washington Justin Forsett,TB -  Jacquizz Rodgers Charles Sims Peyton Barber Doug Martin Antone Smith Alan Cross,ARI -  David Johnson Chris Johnson Andre Ellington Stepfan Taylor,  ,KC,48.50000000000001,DEN -  Emmanuel Sanders Demaryius Thomas Jordan Norwood Bennie Fowler Jordan Taylor Cody Latimer,ATL -  Julio Jones Mohamed Sanu Taylor Gabriel Aldrick Robinson Justin Hardy Eric Weems,OAK -  Amari Cooper Michael Crabtree Seth Roberts Andre Holmes Johnny Holton,TEN -  Rishard Matthews Tajae Sharpe Kendall Wright Andre Johnson Harry Douglas Marc Mariani,  ,CAR,20.433333333333334,OAK -  Clive Walford Mychal Rivera Lee Smith,SEA -  Jimmy Graham Luke Willson Brandon Williams Nick Vannett George Fant,SD -  Hunter Henry Antonio Gates Sean McGrath,WAS -  Jordan Reed Vernon Davis Niles Paul,  ,NYG,9.571428571428571,CLE -  Cody Parkey Patrick Murray,PIT -  Chris Boswell,DAL -  Dan Bailey,DET -  Matt Prater,  
OAK,70.42857142857142,CAR -  Cam Newton Derek Anderson Joe Webb,BUF -  Tyrod Taylor EJ Manuel,KC -  Alex Smith,SD -  Philip Rivers Kellen Clemens,  ,PIT,40.714285714285715,IND -  Frank Gore Robert Turbin Josh Ferguson Jordan Todman,NYG -  Shane Vereen Rashad Jennings Orleans Darkwa Bobby Rainey Paul Perkins,BUF -  LeSean McCoy Mike Gillislee Jonathan Williams Jerome Felton Reggie Bush,CIN -  Jeremy Hill Giovani Bernard Rex Burkhead,  ,OAK,47.8,CAR -  Kelvin Benjamin Ted Ginn Corey Brown Devin Funchess,BUF -  Marquise Goodwin Robert Woods Greg Salas Walt Powell Sammy Watkins Justin Hunter Brandon Tate,KC -  Jeremy Maclin Chris Conley Tyreek Hill Albert Wilson De'Anthony Thomas Demarcus Robinson,SD -  Tyrell Williams Travis Benjamin Dontrelle Inman Keenan Allen Dexter McCluster Griff Whalen,  ,DET,18.37142857142857,MIN -  Kyle Rudolph Rhett Ellison MyCole Pruitt,NO -  Coby Fleener Josh Hill,CHI -  Zach Miller Logan Paulsen Ben Braunecker,NYG -  Will Tye Larry Donnell Jerell Adams,  ,IND,9.0,PIT -  Chris Boswell,NYJ -  Nick Folk,HOU -  Nick Novak,MIN -  Blair Walsh,  
ATL,69.8,ARI -  Carson Palmer Drew Stanton,KC -  Alex Smith,LA -  Case Keenum,SF -  Blaine Gabbert Colin Kaepernick,  ,IND,40.25714285714287,PIT -  Le'Veon Bell DeAngelo Williams Fitzgerald Toussaint,NYJ -  Matt Forte Bilal Powell Troymaine Pope,HOU -  Lamar Miller Alfred Blue Jonathan Grimes Tyler Ervin,MIN -  Jerick McKinnon Matt Asiata Adrian Peterson Ronnie Hillman,  ,NYJ,47.42857142857143,NE -  Julian Edelman Chris Hogan Danny Amendola Malcolm Mitchell Matthew Slater,IND -  T.Y. Hilton Phillip Dorsett Chester Rogers Donte Moncrief Quan Bray Devin Street,SF -  Jeremy Kerley Torrey Smith Quinton Patton Rod Streater Aaron Burbridge Keshawn Martin,MIA -  Jarvis Landry Kenny Stills DeVante Parker Leonte Carroo Jakeem Grant,  ,ATL,16.914285714285715,ARI -  Jermaine Gresham Darren Fells Ifeanyi Momah Troy Niklas Hakeem Valles,KC -  Travis Kelce Demetrius Harris Ross Travis James O'Shaughnessy,LA -  Lance Kendricks Tyler Higbee Cory Harkey Temarrick Hemingway,SF -  Vance McDonald Garrett Celek Blake Bell Je'Ron Hamm,  ,CHI,8.714285714285714,TEN -  Ryan Succop,SF -  Phil Dawson,DET -  Matt Prater,GB -  Mason Crosby,  
NO,67.33333333333333,LA -  Case Keenum,DET -  Matthew Stafford,TB -  Jameis Winston,ARI -  Carson Palmer Drew Stanton,  ,CLE,37.51428571428572,NYG -  Shane Vereen Rashad Jennings Orleans Darkwa Bobby Rainey Paul Perkins,BYE,CIN -  Jeremy Hill Giovani Bernard Rex Burkhead,BUF -  LeSean McCoy Mike Gillislee Jonathan Williams Jerome Felton Reggie Bush,  ,NO,46.633333333333326,LA -  Kenny Britt Brian Quick Tavon Austin Bradley Marquez Pharoh Cooper Mike Thomas,DET -  Marvin Jones Golden Tate Anquan Boldin Andre Roberts,TB -  Mike Evans Adam Humphries Vincent Jackson Russell Shepard Cecil Shorts Freddie Martino,ARI -  Larry Fitzgerald John Brown Michael Floyd Jaron Brown J.J. Nelson Brittan Golden,  ,DAL,16.866666666666664,WAS -  Jordan Reed Vernon Davis Niles Paul,MIN -  Kyle Rudolph Rhett Ellison MyCole Pruitt,NYG -  Will Tye Larry Donnell Jerell Adams,TB -  Cameron Brate Brandon Myers,  ,SF,8.142857142857142,MIA -  Andrew Franks,CHI -  Connor Barth,NYJ -  Nick Folk,ATL -  Matt Bryant,  
CAR,67.33333333333333,OAK -  Derek Carr,SEA -  Russell Wilson Trevone Boykin,SD -  Philip Rivers Kellen Clemens,WAS -  Kirk Cousins,  ,TB,36.333333333333336,SEA -  Christine Michael Thomas Rawls Alex Collins C.J. Spiller C.J. Prosise,SD -  Melvin Gordon Danny Woodhead Kenneth Farrow,NO -  Mark Ingram Tim Hightower Daniel Lasco Travaris Cadet Marcus Murphy,DAL -  Ezekiel Elliott Alfred Morris Lance Dunbar Rod Smith,  ,CAR,45.699999999999996,OAK -  Amari Cooper Michael Crabtree Seth Roberts Andre Holmes Johnny Holton,SEA -  Doug Baldwin Jermaine Kearse Tyler Lockett Paul Richardson Tanner McEvoy,SD -  Tyrell Williams Travis Benjamin Dontrelle Inman Keenan Allen Dexter McCluster Griff Whalen,WAS -  Jamison Crowder DeSean Jackson Pierre Garcon Josh Doctson Ryan Grant Rashad Ross,  ,IND,16.6,PIT -  Jesse James Xavier Grimble David Johnson,NYJ -  Austin Seferian-Jenkins Brandon Bostick Kellen Davis Braedon Bowman,HOU -  C.J. Fiedorowicz Ryan Griffin Stephen Anderson,MIN -  Kyle Rudolph Rhett Ellison MyCole Pruitt,  ,HOU,8.142857142857142,SD -  Josh Lambo,GB -  Mason Crosby,IND -  Adam Vinatieri,JAC -  Jason Myers,  
IND,65.88571428571427,PIT -  Ben Roethlisberger Landry Jones,NYJ -  Ryan Fitzpatrick Geno Smith,HOU -  Brock Osweiler,MIN -  Sam Bradford Shaun Hill,  ,ATL,35.51428571428571,ARI -  David Johnson Chris Johnson Andre Ellington Stepfan Taylor,KC -  Spencer Ware Charcandrick West Jamaal Charles,LA -  Todd Gurley Benny Cunningham Malcolm Brown Chase Reynolds,SF -  Carlos Hyde Shaun Draughn DuJuan Harris Mike Davis,  ,CLE,45.48571428571429,NYG -  Odell Beckham Sterling Shepard Victor Cruz Roger Lewis Dwayne Harris Tavarres King,BYE,CIN -  A.J. Green Brandon LaFell Tyler Boyd James Wright Alex Erickson Cody Core,BUF -  Marquise Goodwin Robert Woods Greg Salas Walt Powell Sammy Watkins Justin Hunter Brandon Tate,  ,OAK,16.45714285714286,CAR -  Greg Olsen Ed Dickson,BUF -  Charles Clay Nick O'Leary,KC -  Travis Kelce Demetrius Harris Ross Travis James O'Shaughnessy,SD -  Hunter Henry Antonio Gates Sean McGrath,  ,BUF,7.714285714285714,JAC -  Jason Myers,OAK -  Sebastian Janikowski,PIT -  Chris Boswell,CLE -  Cody Parkey Patrick Murray,  
NYJ,64.54285714285714,NE -  Tom Brady Jimmy Garoppolo Jacoby Brissett,IND -  Andrew Luck,SF -  Blaine Gabbert Colin Kaepernick,MIA -  Ryan Tannehill,  ,OAK,34.91428571428572,CAR -  Fozzy Whittaker Jonathan Stewart Cameron Artis-Payne,BUF -  LeSean McCoy Mike Gillislee Jonathan Williams Jerome Felton Reggie Bush,KC -  Spencer Ware Charcandrick West Jamaal Charles,SD -  Melvin Gordon Danny Woodhead Kenneth Farrow,  ,JAC,44.96666666666667,BUF -  Marquise Goodwin Robert Woods Greg Salas Walt Powell Sammy Watkins Justin Hunter Brandon Tate,DEN -  Emmanuel Sanders Demaryius Thomas Jordan Norwood Bennie Fowler Jordan Taylor Cody Latimer,MIN -  Stefon Diggs Adam Thielen Cordarrelle Patterson Charles Johnson Jarius Wright Laquon Treadwell,HOU -  DeAndre Hopkins Will Fuller Jaelen Strong Braxton Miller Keith Mumphery,  ,CIN,15.6,BAL -  Dennis Pitta Crockett Gillmore Maxx Williams Darren Waller,PHI -  Zach Ertz Trey Burton Brent Celek,CLE -  Gary Barnidge Connor Hamlett Randall Telfer,PIT -  Jesse James Xavier Grimble David Johnson,  ,DEN,7.714285714285714,KC -  Cairo Santos,JAC -  Jason Myers,TEN -  Ryan Succop,NE -  Stephen Gostkowski,  
PIT,62.6,IND -  Andrew Luck,NYG -  Eli Manning,BUF -  Tyrod Taylor EJ Manuel,CIN -  Andy Dalton,  ,HOU,34.142857142857146,SD -  Melvin Gordon Danny Woodhead Kenneth Farrow,GB -  Eddie Lacy James Starks Don Jackson Knile Davis,IND -  Frank Gore Robert Turbin Josh Ferguson Jordan Todman,JAC -  T.J. Yeldon Chris Ivory Denard Robinson Corey Grant,  ,MIA,44.91428571428572,SF -  Jeremy Kerley Torrey Smith Quinton Patton Rod Streater Aaron Burbridge Keshawn Martin,BAL -  Mike Wallace Steve Smith Breshad Perriman Kamar Aiken Chris Moore Devin Hester,ARI -  Larry Fitzgerald John Brown Michael Floyd Jaron Brown J.J. Nelson Brittan Golden,NYJ -  Brandon Marshall Quincy Enunwa Eric Decker Robby Anderson Charone Peake Jalin Marshall,  ,PIT,15.085714285714285,IND -  Jack Doyle Dwayne Allen Erik Swoope,NYG -  Will Tye Larry Donnell Jerell Adams,BUF -  Charles Clay Nick O'Leary,CIN -  C.J. Uzomah Tyler Kroft Tyler Eifert,  ,CAR,7.666666666666667,OAK -  Sebastian Janikowski,SEA -  Stephen Hauschka,SD -  Josh Lambo,WAS -  Dustin Hopkins,  
DAL,62.566666666666656,WAS -  Kirk Cousins,MIN -  Sam Bradford Shaun Hill,NYG -  Eli Manning,TB -  Jameis Winston,  ,WAS,33.771428571428565,DAL -  Ezekiel Elliott Alfred Morris Lance Dunbar Rod Smith,ARI -  David Johnson Chris Johnson Andre Ellington Stepfan Taylor,PHI -  Ryan Mathews Darren Sproles Wendell Smallwood Kenjon Barner,CAR -  Fozzy Whittaker Jonathan Stewart Cameron Artis-Payne,  ,NYG,44.22857142857142,CLE -  Terrelle Pryor Andrew Hawkins Corey Coleman Ricardo Louis Rashard Higgins Jordan Payton,PIT -  Antonio Brown Sammie Coates Eli Rogers Cobi Hamilton Darrius Heyward-Bey Markus Wheaton,DAL -  Cole Beasley Terrance Williams Dez Bryant Brice Butler Lucky Whitehead,DET -  Marvin Jones Golden Tate Anquan Boldin Andre Roberts,  ,TEN,14.542857142857146,CHI -  Zach Miller Logan Paulsen Ben Braunecker,BYE,DEN -  Virgil Green Jeff Heuerman John Phillips,KC -  Travis Kelce Demetrius Harris Ross Travis James O'Shaughnessy,  ,SD,7.428571428571429,HOU -  Nick Novak,TB -  Roberto Aguayo,CAR -  Graham Gano,OAK -  Sebastian Janikowski,  
SD,61.857142857142854,HOU -  Brock Osweiler,TB -  Jameis Winston,CAR -  Cam Newton Derek Anderson Joe Webb,OAK -  Derek Carr,  ,SD,33.57142857142858,HOU -  Lamar Miller Alfred Blue Jonathan Grimes Tyler Ervin,TB -  Jacquizz Rodgers Charles Sims Peyton Barber Doug Martin Antone Smith Alan Cross,CAR -  Fozzy Whittaker Jonathan Stewart Cameron Artis-Payne,OAK -  DeAndre Washington Latavius Murray Jalen Richard Taiwan Jones,  ,DET,44.17142857142857,MIN -  Stefon Diggs Adam Thielen Cordarrelle Patterson Charles Johnson Jarius Wright Laquon Treadwell,NO -  Brandin Cooks Michael Thomas Willie Snead Brandon Coleman Tommylee Lewis Jake Lampman,CHI -  Alshon Jeffery Eddie Royal Cameron Meredith Kevin White Josh Bellamy Deonte Thompson,NYG -  Odell Beckham Sterling Shepard Victor Cruz Roger Lewis Dwayne Harris Tavarres King,  ,GB,14.366666666666667,PHI -  Zach Ertz Trey Burton Brent Celek,HOU -  C.J. Fiedorowicz Ryan Griffin Stephen Anderson,SEA -  Jimmy Graham Luke Willson Brandon Williams Nick Vannett George Fant,CHI -  Zach Miller Logan Paulsen Ben Braunecker,  ,OAK,7.285714285714286,CAR -  Graham Gano,BUF -  Dan Carpenter,KC -  Cairo Santos,SD -  Josh Lambo,  
CIN,60.285714285714285,BAL -  Joe Flacco,PHI -  Carson Wentz,CLE -  Cody Kessler Josh McCown Robert Griffin III Kevin Hogan,PIT -  Ben Roethlisberger Landry Jones,  ,CIN,33.028571428571425,BAL -  Terrance West Javorius Allen Kenneth Dixon Lorenzo Taliaferro,PHI -  Ryan Mathews Darren Sproles Wendell Smallwood Kenjon Barner,CLE -  Isaiah Crowell Duke Johnson George Atkinson,PIT -  Le'Veon Bell DeAngelo Williams Fitzgerald Toussaint,  ,BAL,43.800000000000004,CIN -  A.J. Green Brandon LaFell Tyler Boyd James Wright Alex Erickson Cody Core,MIA -  Jarvis Landry Kenny Stills DeVante Parker Leonte Carroo Jakeem Grant,NE -  Julian Edelman Chris Hogan Danny Amendola Malcolm Mitchell Matthew Slater,PHI -  Jordan Matthews Nelson Agholor Dorial Green-Beckham Josh Huff,  ,NYJ,13.999999999999998,NE -  Rob Gronkowski Martellus Bennett,IND -  Jack Doyle Dwayne Allen Erik Swoope,SF -  Vance McDonald Garrett Celek Blake Bell Je'Ron Hamm,MIA -  Dion Sims MarQueis Gray Jordan Cameron Dominique Jones,  ,ATL,7.285714285714286,ARI -  Chandler Catanzaro,KC -  Cairo Santos,LA -  Greg Zuerlein,SF -  Phil Dawson,  
KC,57.56666666666667,DEN -  Trevor Siemian Paxton Lynch,ATL -  Matt Ryan,OAK -  Derek Carr,TEN -  Marcus Mariota Matt Cassel,  ,KC,32.43333333333334,DEN -  C.J. Anderson Devontae Booker Kapri Bibbs,ATL -  Devonta Freeman Tevin Coleman,OAK -  DeAndre Washington Latavius Murray Jalen Richard Taiwan Jones,TEN -  DeMarco Murray Derrick Henry Antonio Andrews,  ,LA,43.65714285714286,NO -  Brandin Cooks Michael Thomas Willie Snead Brandon Coleman Tommylee Lewis Jake Lampman,NE -  Julian Edelman Chris Hogan Danny Amendola Malcolm Mitchell Matthew Slater,ATL -  Julio Jones Mohamed Sanu Taylor Gabriel Aldrick Robinson Justin Hardy Eric Weems,SEA -  Doug Baldwin Jermaine Kearse Tyler Lockett Paul Richardson Tanner McEvoy,  ,SF,13.4,MIA -  Dion Sims MarQueis Gray Jordan Cameron Dominique Jones,CHI -  Zach Miller Logan Paulsen Ben Braunecker,NYJ -  Austin Seferian-Jenkins Brandon Bostick Kellen Davis Braedon Bowman,ATL -  Jacob Tamme Austin Hooper Levine Toilolo,  ,PIT,7.142857142857143,IND -  Adam Vinatieri,NYG -  Robbie Gould,BUF -  Dan Carpenter,CIN -  Mike Nugent,  
CHI,57.05714285714286,TEN -  Marcus Mariota Matt Cassel,SF -  Blaine Gabbert Colin Kaepernick,DET -  Matthew Stafford,GB -  Aaron Rodgers,  ,DEN,31.400000000000002,KC -  Spencer Ware Charcandrick West Jamaal Charles,JAC -  T.J. Yeldon Chris Ivory Denard Robinson Corey Grant,TEN -  DeMarco Murray Derrick Henry Antonio Andrews,NE -  LeGarrette Blount James White D.J. Foster Brandon Bolden,  ,BUF,43.0,JAC -  Allen Hurns Marqise Lee Allen Robinson Arrelious Benn Rashad Greene Bryan Walters,OAK -  Amari Cooper Michael Crabtree Seth Roberts Andre Holmes Johnny Holton,PIT -  Antonio Brown Sammie Coates Eli Rogers Cobi Hamilton Darrius Heyward-Bey Markus Wheaton,CLE -  Terrelle Pryor Andrew Hawkins Corey Coleman Ricardo Louis Rashard Higgins Jordan Payton,  ,MIA,13.371428571428572,SF -  Vance McDonald Garrett Celek Blake Bell Je'Ron Hamm,BAL -  Dennis Pitta Crockett Gillmore Maxx Williams Darren Waller,ARI -  Jermaine Gresham Darren Fells Ifeanyi Momah Troy Niklas Hakeem Valles,NYJ -  Austin Seferian-Jenkins Brandon Bostick Kellen Davis Braedon Bowman,  ,TEN,7.142857142857143,CHI -  Connor Barth,BYE,DEN -  Brandon McManus,KC -  Cairo Santos,  
SF,56.97142857142857,MIA -  Ryan Tannehill,CHI -  Brian Hoyer Jay Cutler Matt Barkley,NYJ -  Ryan Fitzpatrick Geno Smith,ATL -  Matt Ryan,  ,BUF,30.914285714285718,JAC -  T.J. Yeldon Chris Ivory Denard Robinson Corey Grant,OAK -  DeAndre Washington Latavius Murray Jalen Richard Taiwan Jones,PIT -  Le'Veon Bell DeAngelo Williams Fitzgerald Toussaint,CLE -  Isaiah Crowell Duke Johnson George Atkinson,  ,GB,42.23333333333334,PHI -  Jordan Matthews Nelson Agholor Dorial Green-Beckham Josh Huff,HOU -  DeAndre Hopkins Will Fuller Jaelen Strong Braxton Miller Keith Mumphery,SEA -  Doug Baldwin Jermaine Kearse Tyler Lockett Paul Richardson Tanner McEvoy,CHI -  Alshon Jeffery Eddie Royal Cameron Meredith Kevin White Josh Bellamy Deonte Thompson,  ,NE,12.714285714285714,NYJ -  Austin Seferian-Jenkins Brandon Bostick Kellen Davis Braedon Bowman,LA -  Lance Kendricks Tyler Higbee Cory Harkey Temarrick Hemingway,BAL -  Dennis Pitta Crockett Gillmore Maxx Williams Darren Waller,DEN -  Virgil Green Jeff Heuerman John Phillips,  ,NYJ,7.0,NE -  Stephen Gostkowski,IND -  Adam Vinatieri,SF -  Phil Dawson,MIA -  Andrew Franks,  
